1211003;CABO DE FIGUEIRAL
1211004;CANTO DE VINHA
1211005;CHA CLARA
1211006;CHA DE CANELA
1211007;CHUPADOURO
1211008;ESPANADEIRO
1211009;JUNTA
1211010;LOMBINHO BAIXO
1211011;LOMBINHO DE CIMA
1211012;LOMBO DE LUZIA
1211013;LOMBO MORRO
1211014;QUINTAL
1211015;RECANTO
1211016;RIBEIRAO DE AGUA
1211017;SELADINHA
1211018;SANTANA
1211019;VARZEA DE BAIXO
1211020;VARZEA DE CIMA
1211021;MONTEIRO
1211022;LOMBO DE FEIJOAL BRANCO
1211023;LOMBO DE CINTA
1211024;LOMBO DE JULIO
1211101;AGUADA DE JANELA
1211102;ALCAIDE
1211103;ARRIMANGADO
1211104;BANDA BAIXO
1211105;BARRO ALTO
1211106;BARDO ROCHA
1211107;BORDEIRA
1211108;CABO DA RIBEIRA
1211109;CAVOUCO DE SILVAO
1211110;CHA DE BAIXO
1211111;CHA DE BALCHORIM
1211112;COVOADA DAS PEDRAS
1211113;ENTRETOPO
1211114;FAJA DE JANELA
1211115;FAJANZINHA
1211116;LADEIRA CASINHA
1211117;LOMBO BORDEIRA
1211118;LOMBO CANCELA
1211119;LOMBO CANTREIRA
1211120;LOMBO COMPRIDO
1211121;LOMBO CURRAL
1211122;LOMBO DAS TINTAS
1211123;LOMBO DE CANEQUINHA
1211124;LOMBO PALMARIO
1211125;LOMBO PELADO
1211126;LOMBO RIBEIRA
1211127;LOMBO TANQUIM
1211128;MEIO DE PIOLHO
1211129;MEIO DOS TOPOS
1211130;PENEDO
1211131;PONTINHA
1211132;PRAIA DE GI
1211133;TANQUE
1211134;VARZEA
1211135;FAROL
1211136;LOMBO DE SANTA
1211137;CHÃ DE TIA ELIZA
1211138;CHÃZINHA
1211139;BOCA DA RIBEIRA
1211140;LOMBINHO DE PAU
1211141;LOMBO PELOD DE BAIXO
1211142;AS PERAS
1211143;LOMBO PELOD DE CIMA
1211144;CHÃ DE CARNEIRO
1211145;TESTA
1211146;LOMBO DE CINZA
1211147;PORTON DE VARZINHA
1211148;ESPEDRINHA
1211149;RIBEIRA DE MATO
1211150;CABECEIRA DE HORTA
1211151;PERNAL DE LOMBO
1211152;BORDA ROCHA DE LOMBO
1211153;LOMBO CABO DE RIBEIRA
1211154;RIBEIRA DE ANTONIO
1211155;GUD PIOLHO
1211156;RIBEIRA
1211157;LADEIRINHA
1211158;CRUZINHA
1211159;CINTA VERMELHA
1211160;CHA MAE PAULA
1211161;COVOADA D'AGUADA
1211162;GUARDA ANTONIO D'MAIA
1310101;COVOADA DRAGOEIRO
1310102;ESTANCIA NOVA
1310103;LOMBO DOS CABRITOS
1310104;LOMBO VERMELHO
1310105;AGUA DOS VELHOS
1310201;AS LAJAS
1310202;CHA DE ERVA
1310203;CHA DE PEDRO
1310204;LOMBO PELADO
1310205;SELADINHA
1310206;VARGINHA
1310207;CATANO
1310301;CABECEIRA
1310302;CAVOUCO SILVA
1310303;CHA DE ALECRIM
1310304;CHA DE MORTE
1310305;CHA DE SELADINHA
1310306;COICE DE CHA DE MORTE
1310307;RIBEIRAOZINHO
1310401;CHA DE CURRAL
1310402;CIRIO
1310403;FREDE CIRIO
1310404;LADEIRA DE FREDE
1310405;QUEIMADO CIRIO
1310406;SELADINHO DE CIRIO
1310407;TAPUME
1310408;CHÃ DE ALEXANDRE
1310409;FREDE E LADEIRA DE FREDE
1310410;QUEMADA
1310411;SELADINHA
1310412;CHÃ MANUEL INACIO FREDE
1310413;LADEIRA QUEIMADA
1310501;CABO DA RIBEIRA
1310502;CHA FUNDA
1310503;COVOADA LARGA
1310504;CURRAL DAS VACAS
1310505;CURRAL DAS VACAS DE BAIXO
1310506;CURRAL DAS VACAS DE CIMA
1310507;CRUZ DE CURRAL DAS VACAS
1310508;FIGUEIRA QUINTINA
1310601;MORRO DE RIBEIRA FRIA
1310602;PINTO
1310603;TENENTE
1310604;CHÃ BRANCA
1310605;BORDA DE ESPADANA
1310606;CABO DE CAMPO
1310607;FUNDO AMERICA
1310608;CHÃ LAGOA
1310609;LAGOA
1310610;CEBOLA
1310611;BRANCO
1310612;TORTOLHO
1310613;COMPAINHA
1310614;CHÃ BRANCA DE PINTO
1310615;NINHO DE CORVO
1310618;TABOADINHO
1310619;FUNDO LAGOINHA
1310701;CARPINTEIRO
1310702;CHÃ DE COCHETE
1310703;CHÃ DE LAGOA
1310704;CHÃ DE VINHA
1310705;CHÃ DE ATUM
1310706;CHÃ DE QUEIMADO
1310707;CHÃ ZE FERNANDO
1310708;FUNDO DE AMÉRICA
1310709;LAGOA
1310710;PONTA DE ATUM
1310717;CHÃ DE CAETANO
1310718;COVÃO DE LAGOA
1310719;FIGUEIRINHA
1310720;LAGOA DE CIMA
1310801;BOCA DE MINA
1310802;CAVOUCO DE ALECRIM
1310803;CHA BANCA
1310804;CHA DE SEM COMER
1310805;COVOADA
1310806;COVOADA BRANCA
1310807;FRENTE GUILHERME
1310808;PONTE SUL
1310809;VARZEA LAJEDO/LAJEDO
1310810;VASCONA
1310811;CANCELA
1310812;ZÉ AGRIÃO
1310813;CHÃ CANECA
1310814;JOSÉ BARRANCO
1310815;CHÃ DE MATO
1310901;LOMBO DAS LANCAS
1311001;AGUA DAS CALDEIRAS
1311002;BORDA DE COVA
1311003;CHA DE GRAMA
1311004;CHA DE TAMPA
1311005;COVADINHA
1311006;COVOADA DE CONCE
1311007;LAJEDO
1311008;LOMBINHO DE CINZA
1311009;LOMBO DAS FIGUEIRAS
1311010;LOMBO TORTOLHO
1311011;MESA
1311012;TOPINHO
1311013;VALETA
1311014;PEDRA RACHADA
1311101;MANUEL LOPES
1311102;TITANO
1311103;DOGOI
1311104;SELADINHA
1311105;CHÃ DE CASA
1311106;PITO CANHOTE
1311107;LAR
1311108;CHÃ DE BAIXO
1311201;LUIS SPENCER
1311202;MATO ESTREITO
1311203;QUEIMADO
1311301;CHA DE FIGUEIRINHA
1311302;CRUZ
1311303;CURRAL DA RUSSA
1311304;ESPONJEIRO
1311305;FUNDO DE VACA
1311306;PEDRA JACINTO
1311307;RECANTO
1311308;RIBEIRA DE PAI
1311309;RIBEIRA DO POIO
1311310;TOPINHO
1311311;TRAVESSA DE TRIZ
1311312;MORRO DE VENTO
1311401;PEDRA DE JORGE
1311402;CHÃ DE PAREDE
1311403;LOMBO TAPUME
1311501;COVOADA
1311502;CHA DE CASA
1311503;LOMBO
1311504;POIO
1311505;SELADINHA
1311506;CHÃ DE FOXE
1311507;CHÃ DE JOANA
1311508;CHÃ DE JOÃO BENTO
1311509;FERRADOR
1311510;CHÃ DE TAPUME
1311511;RECANTINHO
1311601;CABO DA RIBEIRA
1311602;CAVOUCO
1311603;CHA DE BESTA
1311604;CHA DE MINDELO
1311605;CHA DE TAMBARINA
1311606;CRUZ
1311607;JOAO DIAS
1311608;LEZARDO
1311609;LOMBO TANQUE
1311610;SELADA
1311611;VARZEA DE TAPUME
1311612;VILA NOVA
1311613;RIBEIRINHA CURTA
1311614;CHÃ DE SALINA
1311615;FONTE CRUZ
1311701;RIBEIRA TORTA
1311801;COVOADA
1311802;COVOADA DE SURRAO
1311803;COVOADA DE MANGACAO
1311804;LOMBO DAS CASINHAS
1311805;LOMBO DE FRANGUINHO
1311806;RIBEIRAO FUNDO DE BAIXO
1311807;SELADA VERMELHA
1311808;TESTE PALHA
1311809;LOMBO DE FRANKLIN
1311810;RIBEIRÃO FUNDO DE CIMA
1311811;CHÃ DE MANGAÇÃO
1312001;CAVOUCO
1312002;CHA DE CASA
1312003;CHA DE JOAOZINHO
1312004;CHA DE ROSINHA
1312005;CHA DE VACA
1312006;LOMBINHO BRANCO
1312007;TABULEIRINHO
1312008;TABUGA DE BAIXO
1312009;TABUGA DE CIMA
1312101;AGOSTINHO PEREIRA
1312102;CABOUCO DE TARAFE
1312103;CHA DE PREGUICA
1312104;COVAO
1312105;CUTELO
1312106;LADEIRA
1312107;LOMBO DE CAL
1312108;PRAIA
1312109;PÉ DE TAMBARINA
1312110;FOR CAL
1312111;SELADA
1312201;ABUFADOR
1312202;ALTO DE PEIXINHO
1312203;ARMAZEM
1312204;BAIRRO
1312205;BERLIM
1312206;BRANQUINHO
1312207;CHA DE CAMOCA
1312208;COVOADA
1312209;ITALIA
1312210;LOMBINHO
1312211;LOMBO BRANCO
1312212;LOMBO DE MEIO
1312213;MORRO BRAZ
1312214;POZOLANA
1312215;RIBEIRA CORUJINHA
1312216;SAO TOME
1312217;CURRALETE
1312218;ALTO SÃO TOMÉ
1312219;CHÃ DE ITÁLIA
1312220;CHÃ DE MATINHO
1312301;CHÃ DAS PIPAS
1312302;ORELEANO
1312303;CASA DE MEIO
1312401;ÁGUA DAS CALDEIRAS
1320101;BURRA
1320102;CAVOUCO PODRE
1320103;CHA BONITA
1320104;CHA DAURINCA
1320105;CHA DE BAIXO
1320106;CHA DE CIMA
1320107;CHA DE DRAGOEIRO
1320108;CHA DE FIGUEIRA
1320109;CHA FORA
1320110;CHA GORADO
1320111;CHA GREGORIO
1320112;CHA QUEIMADO
1320113;CHA SANTANA
1320114;CHANZINHA
1320115;COVOADA DESENFADO
1320116;COVOADA PURGUEIRA
1320117;DESENCAMINHADINHA
1320118;DOMINGUINHAS
